dsp_item_id	award_range	fiscal_year	award_total	award_total_dollars	change
1	1	2011	318	1175956	0
2	1	2012	333	1501621	15
3	1	2013	328	1402267	-5
4	1	2014	328	1362038	0
5	1	2015	358	496582.63	30
6	2	2011	910	39332571	0
7	2	2012	925	39129018	15
8	2	2013	953	40660568	28
9	2	2014	1025	43982796	72
10	2	2015	965	40177103.17	-60
11	3	2011	827	245559485	0
12	3	2012	800	227034336	-27
13	3	2013	790	229530866	-10
14	3	2014	771	224746391	-19
15	3	2015	768	231625748.6	-3
16	4	2011	72	167292179	0
17	4	2012	60	132141498	-12
18	4	2013	63	131662838	3
19	4	2014	59	133576508	-4
20	4	2015	48	97095399.5	-11
21	5	2011	1	15263798	0
22	5	2012	1	15475403	0
23	5	2013	2	27042784	1
24	5	2014	2	29834829	0
25	5	2015	3	61970852.65	1